job_title,location,income,skill,データベース,AWS,機械学習,Webフレームワーク,データ分析,min_income,max_income,avg_income
その他エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 岐阜県, 滋賀県, 奈良県, 福岡県, フルリモート",400万円〜1000万円,"C#, C, C++, JavaScript, ASP, ASP.NET, PHP, Ruby, Java, COBOL, Python, Swift, Go, Dart, Struts, Symfony, CakePHP, Ruby on Rails, Django, Node.js, React, TypeScript, AWS, Laravel, Vue.js, Kotlin, Azure, Spring, Rust, GCP, Salesforce, Nuxt.js, Flutter, Juniper, SAP",0,1,0,1,0,400.0,1000.0,700.0
フルスタックエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",700万円〜1100万円,"Python, React, AWS, Docker, Golang, Vue.js, TensorFlow, PostgreSQL, Azure, GCP",1,1,1,0,0,700.0,1100.0,900.0
クラウドエンジニア,"東京都, 埼玉県",550万円〜700万円,"Python, Go, TypeScript, AWS, Docker, SAP",0,1,0,0,0,550.0,700.0,625.0
AIエンジニア,東京都,700万円〜1000万円,"JavaScript, Ruby, Python, Ruby on Rails, TypeScript, AWS, MySQL",1,1,0,0,0,700.0,1000.0,850.0
その他エンジニア,東京都,400万円〜800万円,"PHP, Java, Python, FuelPHP, AWS, Docker, MySQL, Laravel, Firebase, Flask",1,1,0,1,0,400.0,800.0,600.0
開発エンジニア,"東京都, 大阪府, 愛知県, 福岡県",350万円〜700万円,"JavaScript, Java, Python, Go, Node.js, React, TypeScript, AWS, Vue.js, Azure, GCP",0,1,0,0,0,350.0,700.0,525.0
PM,東京都,550万円〜700万円,"PHP, Ruby, Python, TypeScript, AWS, GCP",0,1,0,0,0,550.0,700.0,625.0
Webエンジニア,東京都,350万円〜550万円,"JavaScript, SQL, PHP, Ruby, Java, Python, Ruby on Rails, Django, React, TypeScript, AWS, Docker, MySQL, Laravel, Vue.js, Nginx, PostgreSQL, Kubernetes, Oracle, SQLServer, Nuxt.js, Splunk",1,1,0,1,0,350.0,550.0,450.0
PM,"東京都, 神奈川県, 千葉県, 埼玉県, フルリモート",500万円〜750万円,"C#, JavaScript, SQL, Java, Python, Swift, TypeScript, AWS, Laravel, Vue.js, PostgreSQL, Kotlin, Azure, Spring, GCP",1,1,0,0,0,500.0,750.0,625.0
サーバーエンジニア,"大阪府, 兵庫県, 愛知県, 福岡県",400万円〜700万円,"PHP, Python, AWS, Oracle",0,1,0,0,0,400.0,700.0,550.0
Webエンジニア,東京都,400万円〜965万円,"C#, C, C++, JavaScript, SQL, PHP, Ruby, Java, Python, Swift, React, TypeScript, iOS, Android, AWS, Docker, MySQL, Vue.js, PostgreSQL, Kotlin, Azure, Jenkins, Oracle, GCP",1,1,0,0,0,400.0,965.0,682.5
その他エンジニア,"東京都, 神奈川県, 大阪府, 愛知県, 栃木県, 群馬県",500万円〜1100万円,"C#, C, C++, Java, Python",0,0,0,0,0,500.0,1100.0,800.0
SRE,東京都,450万円〜700万円,"JavaScript, PHP, Ruby, Python, React, TypeScript, AWS, Docker, MySQL, Laravel, Vue.js, Lambda, Jenkins, GCP, Redis, SRE",1,1,0,0,0,450.0,700.0,575.0
その他エンジニア,"東京都, フルリモート",340万円〜700万円,"Ruby, Python, Go, Docker, Zabbix",0,0,0,0,0,340.0,700.0,520.0
フロントエンドエンジニア,東京都,400万円〜600万円,"Objective-C, JavaScript, PHP, Java, Python, Swift, Dart, Symfony, Node.js, React, AngularJS, TypeScript, iOS, Android, AWS, Docker, MySQL, Laravel, Vue.js, HTML5, PostgreSQL, Kotlin, IoT, Azure, Kubernetes, Firebase, Elasticsearch, MongoDB, Angular, React Native, Redis, Express, Cordova, Flutter",1,1,0,0,0,400.0,600.0,500.0
その他エンジニア,東京都,510万円〜560万円,"C#, C, JavaScript, SQL, PHP, Ruby, Java, Python, Swift, R, React, AWS, MySQL, Laravel, PostgreSQL, MariaDB, Flutter, Juniper",1,1,0,0,0,510.0,560.0,535.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",400万円〜720万円,"C#, C, C++, JavaScript, PHP, Ruby, Java, Python, Swift, Scala, Go, jQuery, React, TypeScript, AWS, Laravel, Vue.js, Kotlin, Azure, Angular, GCP",0,1,0,0,0,400.0,720.0,560.0
その他エンジニア,フルリモート,420万円〜540万円,"SQL, Python, AWS, MySQL, PostgreSQL, Azure, PowerShell, GCP, Salesforce",1,1,0,0,1,420.0,540.0,480.0
バックエンドエンジニア,東京都,300万円〜420万円,"JavaScript, Java, Python, jQuery, TypeScript, AWS, Docker, MySQL, Vue.js, PostgreSQL, Kotlin, Kubernetes, Elasticsearch, Nuxt.js",1,1,0,0,0,300.0,420.0,360.0
AIエンジニア,東京都,450万円〜650万円,"Python, React, TypeScript, Azure, pandas, Flask",0,0,0,1,1,450.0,650.0,550.0
Pythonエンジニア,東京都,500万円〜800万円,"Python, Node.js, React, TypeScript, iOS, Android, AWS, Azure, GCP, Redux, Flutter",0,1,0,0,0,500.0,800.0,650.0
バックエンドエンジニア,東京都,400万円〜580万円,"C#, C, C++, ASP, Perl, PHP, Ruby, Java, COBOL, Python, AWS, Azure, GCP",0,1,0,0,0,400.0,580.0,490.0
データエンジニア,東京都,250万円〜400万円,"SQL, Python, AWS, Azure, GCP",1,1,0,0,0,250.0,400.0,325.0
PM,東京都,600万円〜900万円,"Python, React, TypeScript, Docker, PostgreSQL, Azure",1,0,0,0,0,600.0,900.0,750.0
バックエンドエンジニア,東京都,600万円〜1000万円,"PHP, Ruby, Java, Python, Go, Ruby on Rails, Node.js, React, TypeScript, AWS, Docker, PostgreSQL, GCP, Electron, Redis, Express",1,1,0,0,0,600.0,1000.0,800.0
AIエンジニア,東京都,600万円〜900万円,"Python, Docker",0,0,0,0,0,600.0,900.0,750.0
その他エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",350万円〜600万円,"C#, JavaScript, PHP, Java, Python, React, Vue.js",0,0,0,0,0,350.0,600.0,475.0
データエンジニア,"東京都, フルリモート",700万円〜1100万円,"SQL, Ruby, Python, Ruby on Rails, AWS, Docker, MySQL, Vue.js, Lambda, Fargate",1,1,0,0,0,700.0,1100.0,900.0
AIエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",600万円〜800万円,"Python, AWS",0,1,0,0,0,600.0,800.0,700.0
その他エンジニア,"東京都, フルリモート",600万円〜1500万円,"SQL, Python, AWS, Lambda, GCP",1,1,0,0,0,600.0,1500.0,1050.0
その他エンジニア,東京都,600万円〜1200万円,"C#, C, C++, JavaScript, VBA, SQL, PHP, Ruby, Java, COBOL, Python, Go, Unity, React, TypeScript, AWS, Azure, SAP",1,1,0,0,0,600.0,1200.0,900.0
バックエンドエンジニア,東京都,450万円〜800万円,"PHP, Ruby, Java, Python, Node.js, React, TypeScript, AWS, Docker, MySQL, Laravel, Vue.js, IoT, Spring, GCP, Flask",1,1,0,1,0,450.0,800.0,625.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",600万円〜1000万円,"SQL, Python",1,0,0,0,0,600.0,1000.0,800.0
開発エンジニア,東京都,600万円〜800万円,"SQL, Java, Python, Node.js, AWS, Salesforce",1,1,0,0,0,600.0,800.0,700.0
セキュリティエンジニア,東京都,500万円〜700万円,"C, Python",0,0,0,0,0,500.0,700.0,600.0
Webエンジニア,"宮城県, 福岡県",360万円〜600万円,"SQL, PHP, Ruby, Python, Go, Node.js, React, AWS, Vue.js, GCP, Nuxt.js",1,1,0,0,0,360.0,600.0,480.0
システムエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",450万円〜800万円,"C#, JavaScript, Java, Python, Symfony, CakePHP, AWS, MySQL, Laravel, WordPress, Vue.js, Nginx, Apache",1,1,0,0,0,450.0,800.0,625.0
その他エンジニア,京都府,260万円〜,"PHP, Java, Python, React, AWS",0,1,0,0,0,,,
AIエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート, 海外",600万円〜1000万円,"Python, React, AWS, IoT, Azure, GCP, Flutter",0,1,0,0,0,600.0,1000.0,800.0
AIエンジニア,"東京都, フルリモート",600万円〜800万円,"Python, React, TypeScript, AWS, Docker, Lambda",0,1,0,0,0,600.0,800.0,700.0
